Korean_pure-240min,
X,Y
0.0089 , 365.4582
0.0283 , 412.9211
0.0567 , 449.6259
0.0790 , 466.9180
0.1013 , 479.3602
0.1236 , 488.5692
0.1459 , 495.0838
0.1677 , 500.5195
0.1894 , 503.7997
0.2073 , 506.5325
0.2497 , 510.3961
0.3028 , 513.2048
0.3536 , 517.0865
0.3982 , 518.7994
0.4496 , 520.5267
0.4998 , 522.7905
0.5490 , 524.5130
0.5998 , 524.6226
0.6495 , 525.8074
0.7003 , 526.9947
0.7494 , 527.1006
0.7997 , 527.2089
0.8186 , 527.2498
0.8488 , 527.8537
0.8750 , 527.9103
0.9002 , 528.5033
0.9247 , 529.0951
0.9498 , 528.6104
0.9750 , 530.2812
0.9956 , 531.4035
