Korean_pure-120min,
X,Y
0.0091 , 258.2224
0.0292 , 280.3595
0.0593 , 293.3575
0.0810 , 298.2543
0.1023 , 301.5332
0.1235 , 303.1956
0.1430 , 305.9321
0.1620 , 307.5896
0.1826 , 309.2508
0.2005 , 309.8282
0.2502 , 312.0908
0.3010 , 313.8169
0.3529 , 315.5454
0.3993 , 315.6453
0.4512 , 316.2961
0.4998 , 318.5563
0.5506 , 318.1270
0.5997 , 319.3106
0.6494 , 319.4177
0.7008 , 318.4507
0.7499 , 319.0955
0.8119 , 319.2291
0.8314 , 319.2712
0.8504 , 319.3121
0.8755 , 319.9052
0.9107 , 319.4421
0.9252 , 319.4734
0.9498 , 320.6041
0.9883 , 319.6094
