Korean_Ag-120min,
X,Y
0.0090 , 282.6558
0.0303 , 321.6802
0.0595 , 350.4065
0.0820 , 367.2087
0.0994 , 379.1328
0.1202 , 391.5989
0.1404 , 401.8970
0.1611 , 412.1951
0.1825 , 421.4092
0.2038 , 430.0813
0.2499 , 445.2575
0.3071 , 460.4336
0.3610 , 471.2737
0.3998 , 476.1518
0.4486 , 482.1138
0.4997 , 485.9079
0.5486 , 487.5339
0.5991 , 488.0759
0.6496 , 490.2439
0.6990 , 490.2439
0.7496 , 490.7859
0.7984 , 491.3279
0.8192 , 490.7859
0.8478 , 492.4119
0.8737 , 492.4119
0.8989 , 492.9539
0.9236 , 492.4119
0.9371 , 494.0379
0.9495 , 493.4959
0.9629 , 494.0379
0.9775 , 495.1220
1.0011 , 494.5799
