Korean_Ag-240min,
X,Y
0.0090 , 413.2791
0.0286 , 480.4878
0.0595 , 540.6504
0.0780 , 572.6287
0.0983 , 603.5230
0.1185 , 632.2493
0.1387 , 658.2656
0.1595 , 681.5718
0.1802 , 703.7940
0.2010 , 724.3902
0.2476 , 760.1626
0.3111 , 795.9350
0.3706 , 815.4472
0.4076 , 822.4932
0.4481 , 828.4553
0.4986 , 834.9593
0.5497 , 838.7534
0.6002 , 842.0054
0.6496 , 844.7154
0.7002 , 847.4255
0.7507 , 850.1355
0.8001 , 851.2195
0.8203 , 852.3035
0.8501 , 853.9295
0.8748 , 855.0136
0.9006 , 856.0976
0.9248 , 856.0976
0.9506 , 858.2656
0.9759 , 859.8916
0.9893 , 864.7696
