korean_pure_120_min,
X,Y
0.0135 , 269.9702
0.0297 , 293.5866
0.0557 , 310.4831
0.0824 , 319.1924
0.1095 , 327.7003
0.1368 , 332.0074
0.1632 , 336.6860
0.1905 , 339.2812
0.2170 , 343.0991
0.2439 , 346.0256
0.2707 , 348.3500
0.2980 , 349.2008
0.3245 , 351.5714
0.3516 , 351.6632
0.3782 , 354.1721
0.4047 , 353.7496
0.4320 , 355.4383
0.4575 , 354.1854
0.4857 , 356.2391
0.5116 , 356.3358
0.5395 , 357.2881
0.5663 , 357.5023
0.5938 , 356.9051
0.6201 , 358.1169
0.6473 , 356.9893
0.6738 , 358.6383
0.7007 , 356.8173
0.7275 , 358.7874
0.7544 , 357.8968
0.7813 , 358.8434
0.8081 , 358.5965
0.8350 , 358.6334
0.8619 , 358.3853
0.8887 , 358.7769
0.9164 , 358.4928
0.9423 , 356.9991
0.9697 , 358.7628
0.9953 , 357.4152
