Korean_Ag-30min,
X,Y
0.0090 , 195.3930
0.0309 , 206.2331
0.0618 , 212.1951
0.0803 , 213.8211
0.1005 , 214.9051
0.1207 , 217.6152
0.1398 , 219.7832
0.1600 , 218.6992
0.1808 , 219.2412
0.1999 , 221.4092
0.2493 , 222.4932
0.2993 , 223.5772
0.3375 , 225.7453
0.3498 , 222.4932
0.3992 , 223.5772
0.4385 , 224.6612
0.4509 , 222.4932
0.4879 , 224.6612
0.5109 , 221.9512
0.5385 , 224.6612
0.5615 , 223.0352
0.5884 , 224.6612
0.6120 , 221.9512
0.6373 , 223.5772
0.6614 , 222.4932
0.6878 , 223.5772
0.7114 , 221.9512
0.7378 , 223.0352
0.7619 , 220.8672
0.7883 , 221.9512
0.8130 , 221.4092
0.8327 , 221.9512
0.8630 , 222.4932
0.8883 , 221.4092
0.9141 , 221.4092
0.9382 , 221.4092
0.9629 , 220.3252
0.9792 , 220.3252
0.9955 , 220.8672
