Conoco_pure-120min,
X,Y
0.0103 , 267.1766
0.0308 , 293.7179
0.0617 , 311.3939
0.0810 , 318.6656
0.1020 , 325.4144
0.1225 , 330.0806
0.1424 , 334.2266
0.1641 , 336.8082
0.1839 , 339.9125
0.2025 , 341.9765
0.2503 , 346.6142
0.3018 , 350.2064
0.3545 , 352.2348
0.4004 , 354.2703
0.4506 , 355.7805
0.5009 , 356.2490
0.5511 , 357.7592
0.6007 , 357.7075
0.6510 , 357.6551
0.7019 , 357.6021
0.7515 , 357.5504
0.8011 , 356.9779
0.8321 , 357.4664
0.8514 , 356.9256
0.8762 , 357.4206
0.9128 , 357.9033
0.9512 , 357.3424
0.9891 , 357.8238
