NaOH,
X,Y
0.0031 , 296.2341
0.0207 , 332.7013
0.0442 , 348.8653
0.0677 , 365.2851
0.0912 , 375.7184
0.1140 , 383.6380
0.1368 , 390.1687
0.1603 , 396.0695
0.1833 , 399.6835
0.2063 , 405.1009
0.2295 , 409.0128
0.2546 , 411.4405
0.2792 , 416.8534
0.3049 , 420.7414
0.3293 , 423.8078
0.3536 , 426.9644
0.3807 , 431.3886
0.4039 , 432.8749
0.4290 , 436.3937
0.4553 , 438.8400
0.4793 , 442.3042
0.5036 , 445.2623
0.5290 , 447.9551
0.5542 , 451.5070
0.5799 , 454.2604
0.6054 , 458.5462
0.6285 , 460.9252
0.6528 , 463.9419
0.6771 , 465.3988
0.7023 , 468.6921
0.7258 , 474.7777
0.7520 , 477.7501
0.7789 , 481.7184
0.8015 , 486.8225
0.8275 , 490.4556
0.8515 , 494.9417
0.8758 , 500.0189
0.9021 , 508.9341
0.9260 , 517.2148
0.9504 , 530.6099
0.9765 , 579.3249
0.9941 , 651.2962
