5,
X,Y
0.9949 , 1212.5714
0.9818 , 1097.1429
0.9597 , 1082.2857
0.9359 , 1074.2857
0.9109 , 1067.4286
0.8871 , 1060.5714
0.8616 , 1053.7143
0.8372 , 1046.8571
0.8128 , 1038.8571
0.7884 , 1033.1429
0.7618 , 1025.1429
0.7368 , 1020.5714
0.7124 , 1013.7143
0.6869 , 1005.7143
0.6619 , 1000.0000
0.6381 , 993.1429
0.6132 , 987.4286
0.5871 , 979.4286
0.5627 , 972.5714
0.5383 , 966.8571
0.5139 , 962.2857
0.4872 , 955.4286
0.4640 , 947.4286
0.4373 , 940.5714
0.4124 , 933.7143
0.3874 , 926.8571
0.3619 , 918.8571
0.3375 , 909.7143
0.3125 , 899.4286
0.2864 , 889.1429
0.2604 , 881.1429
0.2337 , 865.1429
0.2076 , 850.2857
0.1809 , 833.1429
0.1554 , 810.2857
0.1305 , 787.4286
0.1100 , 764.5714
0.0993 , 750.8571
0.0891 , 736.0000
0.0771 , 717.7143
0.0652 , 699.4286
0.0550 , 678.8571
0.0442 , 658.2857
0.0357 , 634.2857
0.0272 , 617.1429
0.0199 , 597.7143
0.0125 , 545.1429
