NaOH,
X,Y
0.1060 , 381.7458
0.1288 , 388.2765
0.1534 , 396.0566
0.1796 , 400.6152
0.2042 , 405.0969
0.2295 , 409.0128
0.2546 , 411.4405
0.2792 , 416.8534
0.3049 , 420.7414
0.3293 , 423.8078
0.3536 , 426.9644
0.3796 , 431.3866
0.4039 , 432.8749
0.4290 , 436.3937
0.4542 , 439.7767
0.4793 , 442.3042
0.5036 , 445.2623
0.5280 , 447.9531
0.5537 , 451.5060
0.5794 , 454.2594
0.6043 , 458.5442
0.6285 , 460.9252
0.6528 , 463.9419
0.6771 , 465.3988
0.7028 , 470.5705
0.7268 , 474.7797
0.7520 , 477.7501
0.7773 , 481.7154
0.7999 , 486.8196
0.8259 , 490.4526
0.8515 , 494.9417
0.8758 , 500.9575
0.9005 , 507.9924
0.9276 , 518.1565
0.9504 , 530.6099
0.9796 , 584.0242
0.9941 , 654.1122
0.0949 , 377.5517
0.0843 , 373.7771
0.0653 , 364.3547
0.0537 , 358.7008
0.0463 , 353.0548
0.0346 , 343.6462
0.0145 , 313.5709
0.0060 , 294.7815
0.0049 , 157.7331
