KOH,
X,Y
0.0087 , 524.3536
0.0125 , 566.5675
0.0260 , 627.0550
0.0415 , 683.9132
0.0610 , 736.7126
0.0812 , 789.6548
0.1033 , 832.3338
0.1267 , 884.9026
0.1486 , 927.8781
0.1721 , 966.5704
0.1962 , 1000.9711
0.2121 , 1019.4015
0.2337 , 1045.5410
0.2566 , 1070.0205
0.2813 , 1091.0769
0.3067 , 1110.5704
0.3333 , 1127.4234
0.3611 , 1143.0842
0.3853 , 1154.8430
0.4116 , 1165.9428
0.4365 , 1174.4537
0.4619 , 1183.8912
0.4870 , 1195.2955
0.5148 , 1199.8937
0.5405 , 1208.9216
0.5645 , 1214.4851
0.5888 , 1220.2837
0.6140 , 1226.2823
0.6394 , 1232.5068
0.6646 , 1240.0382
0.6897 , 1246.0368
0.7142 , 1252.0611
0.7380 , 1257.7596
0.7635 , 1267.4557
0.7875 , 1271.5901
0.8127 , 1277.2415
0.8390 , 1281.2584
0.8621 , 1292.2126
0.8876 , 1298.4371
0.9108 , 1307.1822
0.9362 , 1316.3373
0.9598 , 1335.3628
0.9823 , 1356.6300
0.9955 , 1392.1475
0.0072 , 490.0278
0.0061 , 441.2148
0.0061 , 409.2998
0.0050 , 367.9962
0.0039 , 339.8340
0.0039 , 304.1643
