K2CO3,
X,Y
0.0039 , 206.1103
0.0088 , 267.9175
0.0308 , 303.6328
0.0543 , 314.9244
0.0777 , 322.5246
0.1012 , 327.8312
0.1251 , 327.2307
0.1490 , 332.8771
0.1722 , 336.2063
0.1958 , 339.5625
0.2188 , 341.3153
0.2420 , 342.8839
0.2651 , 344.5100
0.2884 , 349.0091
0.3113 , 351.8173
0.3349 , 353.5392
0.3581 , 353.3141
0.3821 , 356.7640
0.4046 , 360.2000
0.4290 , 361.5825
0.4541 , 361.7365
0.4784 , 366.4965
0.5036 , 368.0049
0.5279 , 370.6379
0.5530 , 371.5053
0.5773 , 374.3073
0.6015 , 377.9292
0.6249 , 380.2810
0.6498 , 382.9758
0.6717 , 383.3827
0.6951 , 385.7730
0.7185 , 395.0490
0.7426 , 401.0716
0.7653 , 404.1801
0.7883 , 407.3942
0.8114 , 411.4126
0.8350 , 414.4457
0.8582 , 416.8243
0.8816 , 420.4020
0.9055 , 423.7260
0.9280 , 427.1223
0.9512 , 431.7120
0.9804 , 440.3168
0.9975 , 451.3198
0.0155 , 285.4127
0.0049 , 244.0911
0.0028 , 180.2573
0.0038 , 138.9576
