K2CO3,
X,Y
0.2550 , 347.3072
0.2805 , 348.9942
0.3044 , 351.8044
0.3296 , 353.5293
0.3539 , 356.1222
0.3806 , 357.6997
0.4041 , 360.1990
0.4290 , 361.5825
0.4541 , 364.5525
0.4784 , 366.4965
0.5041 , 368.9446
0.5284 , 371.5776
0.5535 , 372.4450
0.5784 , 375.2479
0.6031 , 377.9322
0.6280 , 380.2870
0.6540 , 382.9837
0.6775 , 383.3937
0.7025 , 385.7869
0.7254 , 400.6939
0.7526 , 404.1563
0.7777 , 407.3744
0.8029 , 410.4581
0.8270 , 414.4308
0.8513 , 416.8114
0.8763 , 420.3921
0.9007 , 422.7784
0.9254 , 427.1173
0.9501 , 431.7100
0.9825 , 439.3821
0.9949 , 453.1922
0.2303 , 342.1362
0.2049 , 340.2112
0.1806 , 338.2882
0.1552 , 336.3632
0.1309 , 332.5628
0.1065 , 326.8851
0.0949 , 324.9859
0.0875 , 323.0947
0.0653 , 319.2983
0.0557 , 315.5257
0.0462 , 311.7531
0.0367 , 307.9806
0.0272 , 304.2080
0.0145 , 291.0427
0.0102 , 276.0160
0.0060 , 262.8666
0.0049 , 242.2138
0.0039 , 227.1930
0.0039 , 212.1742
0.0038 , 187.7687
0.0049 , 153.9784
0.0049 , 135.2049
