MCAC-2-1,
X,Y
0.9890 , 337.2835
0.9891 , 324.1688
0.9838 , 310.4868
0.9801 , 301.6507
0.9733 , 288.8249
0.9623 , 279.1377
0.9539 , 264.3171
0.9329 , 258.6270
0.9045 , 252.3709
0.8613 , 251.8253
0.8056 , 250.7167
0.7572 , 250.4592
0.7067 , 250.2029
0.6567 , 249.6612
0.6141 , 249.6855
0.5562 , 248.8632
0.5136 , 247.7470
0.4573 , 246.6387
0.4174 , 245.5211
0.3469 , 239.5741
0.3101 , 235.0335
0.2859 , 231.3409
0.2270 , 220.2555
0.1754 , 207.7403
0.1297 , 193.7963
0.0876 , 178.7098
0.0513 , 163.3349
0.0245 , 146.8142
0.0130 , 137.4124
0.0067 , 127.1523
0.0035 , 113.4691
0.0025 , 106.3421
0.0030 , 94.9377
