CTZn,
X,Y
0.0098 , 164.1638
0.0317 , 170.3379
0.0638 , 173.7597
0.0865 , 175.3353
0.1080 , 176.4376
0.1303 , 177.5331
0.1523 , 178.3108
0.1742 , 178.7165
0.1961 , 179.6633
0.2081 , 179.5618
0.2439 , 181.1172
0.2569 , 181.0496
0.3237 , 181.8610
0.7522 , 185.9523
0.7712 , 185.8847
0.8001 , 187.2371
0.8220 , 187.1019
0.8443 , 187.6328
0.8659 , 187.7781
0.8878 , 188.1163
0.9097 , 189.1982
0.9316 , 189.9083
0.9537 , 191.3778
0.9764 , 194.4763
0.9914 , 199.2742
0.7110 , 185.4194
0.6902 , 185.0323
0.6601 , 185.0323
0.6394 , 184.6452
0.6093 , 184.6452
0.5896 , 184.6452
0.5585 , 184.2581
0.5388 , 184.2581
0.5097 , 183.8710
0.4620 , 183.4839
0.4890 , 183.4839
0.4382 , 182.7097
0.4091 , 182.7097
0.3894 , 182.7097
0.3604 , 181.9355
0.3417 , 182.3226
0.2888 , 181.1613
