CTPC,
X,Y
0.0102 , 102.0140
0.0299 , 107.3140
0.0563 , 110.8938
0.0767 , 112.2759
0.0995 , 113.8042
0.1196 , 115.0316
0.1425 , 116.3672
0.1644 , 117.5168
0.1864 , 118.4635
0.2043 , 118.8837
0.2491 , 120.6478
0.2681 , 121.1685
0.2980 , 122.2843
0.3109 , 122.6562
0.3442 , 123.8092
0.3622 , 124.3299
0.3877 , 125.3062
0.4046 , 125.6317
0.4323 , 126.6731
0.4524 , 127.1194
0.4853 , 128.2352
0.5033 , 128.3946
0.5377 , 129.7229
0.5541 , 130.1568
0.5819 , 131.0040
0.6019 , 131.4896
0.6396 , 132.5124
0.6587 , 132.8637
0.6937 , 134.0621
0.7096 , 134.5580
0.7444 , 135.3357
0.8102 , 137.5335
0.8321 , 139.2917
0.8541 , 139.7313
0.8760 , 140.5225
0.8979 , 141.3881
0.9198 , 142.4024
0.9418 , 143.6197
0.9637 , 146.2570
0.9837 , 150.9463
0.9923 , 158.7615
0.7609 , 136.2581
0.7900 , 137.0323
