CTZn,
X,Y
0.0098 , 164.1638
0.0311 , 170.3226
0.0627 , 174.0000
0.0829 , 175.3548
0.1021 , 176.3226
0.1218 , 177.0968
0.1415 , 177.8710
0.1607 , 178.2581
0.1809 , 179.0323
0.1991 , 179.6129
0.2494 , 180.3871
0.3007 , 181.3548
0.3515 , 182.3226
0.3998 , 183.0968
0.4496 , 183.4839
0.5004 , 183.8710
0.5492 , 183.8710
0.5989 , 184.4516
0.6503 , 185.4194
0.6996 , 185.0323
0.7499 , 185.8065
0.7991 , 186.5806
0.8204 , 186.7742
0.8489 , 186.7742
0.8749 , 187.1613
0.8998 , 187.9355
0.9241 , 188.5161
0.9501 , 190.0645
0.9734 , 193.1613
0.9812 , 194.7097
0.9905 , 198.5806
0.9926 , 203.6129
