CTZn-A,
X,Y
0.9920 , 250.5397
0.9873 , 243.8924
0.9770 , 239.6644
0.9692 , 236.9468
0.9470 , 234.2336
0.9232 , 232.4275
0.8979 , 231.2263
0.8736 , 229.7226
0.8482 , 229.1258
0.8182 , 228.8326
0.7991 , 228.2340
0.7490 , 227.0403
0.6988 , 225.8466
0.6487 , 224.9551
0.6001 , 224.0631
0.5494 , 223.4740
0.5008 , 221.9776
0.4501 , 219.2730
0.4000 , 218.0793
0.3488 , 216.8859
0.3002 , 214.7850
0.2505 , 212.9867
0.2004 , 211.1886
0.1823 , 210.5896
0.1626 , 209.9911
0.1420 , 207.8819
0.1223 , 207.5856
0.1016 , 205.7786
0.0820 , 204.5756
0.0639 , 202.1634
0.0318 , 197.0354
0.0106 , 188.5797
