AC-2mw,
X,Y
0.9935 , 127.6316
0.9753 , 125.1645
0.9486 , 124.0132
0.9252 , 122.6974
0.9005 , 122.2039
0.8739 , 121.7105
0.8498 , 121.0526
0.8212 , 120.5592
0.8017 , 120.0658
0.7497 , 119.5724
0.7003 , 118.9145
0.6508 , 118.0921
0.6001 , 117.2697
0.5501 , 116.4474
0.5000 , 116.1184
0.4519 , 115.6250
0.3999 , 114.6382
0.3511 , 114.1447
0.3010 , 113.3224
0.2510 , 112.3355
0.2022 , 111.0197
0.1821 , 110.5263
0.1612 , 109.8684
0.1411 , 109.0461
0.1203 , 108.3882
0.1014 , 107.5658
0.0813 , 106.4145
0.0676 , 105.4276
0.0319 , 102.3026
0.0104 , 97.3684
