AC-2,
X,Y
0.9974 , 101.3158
0.9746 , 98.6842
0.9486 , 98.0263
0.9187 , 98.1908
0.8752 , 98.1908
0.8511 , 98.1908
0.8401 , 98.0263
0.8199 , 98.0263
0.7698 , 98.0263
0.7191 , 97.8618
0.6691 , 98.1908
0.6196 , 97.8618
0.5702 , 98.1908
0.5202 , 98.1908
0.4701 , 98.1908
0.4213 , 98.1908
0.3518 , 98.3553
0.2991 , 97.8618
0.2503 , 98.0263
0.2003 , 97.6974
0.1795 , 97.6974
0.1599 , 97.0395
0.1404 , 96.8750
0.1222 , 96.8750
0.1001 , 96.5461
0.0806 , 95.8882
0.0676 , 95.3947
0.0332 , 93.7500
0.0117 , 90.9539
