AC-1-OX,
X,Y
0.0129 , 131.7714
0.0329 , 144.0732
0.0232 , 136.9960
0.0547 , 149.8822
0.0743 , 154.1589
0.0967 , 157.0869
0.1194 , 159.5575
0.1440 , 161.7038
0.1696 , 161.7991
0.1942 , 163.6968
0.2225 , 167.0953
0.2450 , 167.4298
0.2686 , 169.6812
0.2916 , 170.6121
0.3147 , 171.8361
0.3377 , 173.3359
0.3607 , 173.9737
0.3838 , 175.6976
0.4068 , 176.5079
0.4298 , 178.3582
0.4529 , 178.8903
0.4759 , 180.1453
0.4991 , 181.0107
0.5220 , 182.6277
0.5450 , 184.0930
0.5680 , 185.3170
0.5911 , 187.0064
0.6141 , 188.2476
0.6371 , 190.2818
0.6602 , 191.6351
0.6832 , 193.7469
0.7063 , 195.3846
0.7293 , 197.5912
0.7520 , 199.1335
0.7754 , 201.8665
0.7984 , 204.2110
0.8214 , 206.4252
0.8448 , 208.9985
0.8675 , 211.6582
0.8905 , 214.2613
0.9136 , 217.1541
0.9366 , 220.2433
0.9596 , 223.6448
0.9816 , 227.1171
1.0004 , 230.0454
