AC-1-OXmw,
X,Y
0.0111 , 127.5405
0.0289 , 137.1710
0.0365 , 142.9801
0.0644 , 149.5666
0.0923 , 154.7594
0.1206 , 158.4350
0.1490 , 161.6016
0.1773 , 163.9568
0.2057 , 166.6408
0.2340 , 169.2568
0.2624 , 171.7631
0.2907 , 173.4114
0.3191 , 175.2066
0.3474 , 177.0128
0.3758 , 179.4619
0.4041 , 180.9402
0.4325 , 181.6261
0.4609 , 183.7938
0.4892 , 186.4822
0.5175 , 187.9237
0.5459 , 189.7046
0.5742 , 192.3785
0.6026 , 193.9658
0.6309 , 196.9727
0.6593 , 199.0930
0.6876 , 201.7770
0.7160 , 204.3763
0.7443 , 207.3722
0.7727 , 211.0215
0.8010 , 214.5195
0.8294 , 217.7891
0.8577 , 221.0087
0.8861 , 224.5323
0.9144 , 229.1338
0.9428 , 233.4260
0.9724 , 238.6703
0.9934 , 242.9141
