AC-1mw,
X,Y
0.0108 , 89.0558
0.0317 , 93.6108
0.1211 , 99.0478
0.1413 , 99.3912
0.1609 , 100.0979
0.1812 , 100.4501
0.2014 , 100.9243
0.2504 , 101.9172
0.3007 , 102.2538
0.3509 , 103.2670
0.4012 , 103.6766
0.4508 , 104.4017
0.5004 , 104.5004
0.5507 , 105.0447
0.6016 , 105.4609
0.6499 , 105.9571
0.7008 , 106.4417
0.7498 , 107.0500
0.7997 , 107.6674
0.8203 , 108.3251
0.8503 , 108.6800
0.8758 , 109.0186
0.9006 , 109.5853
0.9254 , 110.2162
0.9502 , 111.0807
0.9743 , 112.5027
0.9947 , 115.2825
0.1014 , 98.0263
0.0806 , 97.3684
0.0689 , 96.7105
