C-600,
X,Y
-0.0021 , 236.0461
-0.0019 , 196.2807
-0.0032 , 152.0123
-0.0036 , 117.3590
-0.0020 , 88.5770
-0.0022 , 255.0596
0.0035 , 298.0867
0.0130 , 324.2665
0.0306 , 351.3423
0.0520 , 367.5171
0.0727 , 377.4463
0.0933 , 386.9375
0.1150 , 391.8955
0.1299 , 394.4470
0.1548 , 398.9214
0.1759 , 401.5393
0.1957 , 403.5653
0.2188 , 407.3800
0.2394 , 410.1544
0.2605 , 412.0858
0.2807 , 413.2938
0.3008 , 414.9547
0.3219 , 416.0681
0.3426 , 417.6743
0.3632 , 417.8933
0.3838 , 419.2075
0.4038 , 419.9376
0.4251 , 420.8137
0.4462 , 421.6632
0.4711 , 422.4686
0.4918 , 423.4420
0.5134 , 423.5902
0.5323 , 425.1050
0.5530 , 425.2009
0.5743 , 425.9243
0.5949 , 427.4210
0.6169 , 427.9619
0.6349 , 428.4509
0.6567 , 430.0327
0.6775 , 432.1057
0.6971 , 433.2604
0.7219 , 434.5150
0.7426 , 437.3137
0.7632 , 438.4089
0.7838 , 440.7208
0.8045 , 442.7894
0.8251 , 445.9288
0.8458 , 449.7983
0.8671 , 456.0040
0.8871 , 464.2541
0.9077 , 475.8625
0.9483 , 516.3323
0.9949 , 747.8312
