C-500,
X,Y
-0.0000 , 172.0281
-0.0009 , 133.9273
-0.0006 , 89.2493
0.0005 , 71.0420
0.0144 , 210.8651
0.0366 , 228.5548
0.0589 , 236.5545
0.0811 , 242.4526
0.1033 , 246.9948
0.1255 , 251.2659
0.1478 , 256.0115
0.1700 , 258.7232
0.1922 , 261.9095
0.2145 , 265.4348
0.2367 , 268.0110
0.2589 , 270.1804
0.2811 , 273.5701
0.3034 , 276.6887
0.3256 , 278.3157
0.3478 , 281.5020
0.3700 , 282.9257
0.3923 , 285.2985
0.4145 , 288.0781
0.4367 , 290.1797
0.4589 , 292.5525
0.4812 , 295.9422
0.5034 , 300.4618
0.5256 , 301.3870
0.5478 , 302.4620
0.5701 , 303.7249
0.5923 , 303.4673
0.6145 , 304.8232
0.6367 , 307.9756
0.6589 , 311.0787
0.6812 , 313.3314
0.7034 , 316.0544
0.7256 , 321.5005
0.7479 , 325.5682
0.7701 , 329.5003
0.7923 , 333.3645
0.8145 , 337.6491
0.8368 , 341.7800
0.8590 , 344.8364
0.8812 , 347.9741
0.9035 , 355.4548
0.9257 , 365.9057
0.9484 , 380.5541
0.9638 , 416.9700
0.9743 , 453.4731
0.9839 , 483.6640
0.9961 , 514.8583
