C-700,
X,Y
0.9951 , 721.5797
0.9518 , 550.0705
0.9036 , 530.3244
0.8517 , 508.8858
0.8017 , 502.6798
0.7502 , 497.0381
0.7016 , 490.2680
0.6516 , 484.0621
0.6021 , 475.5994
0.5511 , 469.9577
0.4997 , 464.8801
0.4520 , 458.6742
0.4011 , 449.0832
0.3510 , 441.7489
0.3015 , 434.4147
0.2510 , 426.5162
0.2005 , 415.7969
0.1528 , 402.2567
0.1014 , 379.1255
0.0929 , 375.1763
0.0711 , 361.0719
0.0527 , 344.7109
0.0300 , 322.7080
0.0115 , 288.8575
0.0077 , 284.3441
0.0054 , 273.6248
0.0044 , 258.9563
0.0015 , 231.8759
0.0005 , 215.5148
0.0005 , 195.7687
-0.0001 , 171.5092
-0.0001 , 150.0705
-0.0002 , 134.2736
-0.0002 , 97.6023
-0.0003 , 79.5487
