20%_burnoff,
X,Y
0.9951 , 186.5330
0.9802 , 184.8138
0.9664 , 183.0946
0.9164 , 183.9542
0.8663 , 183.0946
0.8168 , 183.9542
0.7668 , 184.8138
0.7168 , 184.8138
0.6668 , 183.9542
0.6167 , 183.9542
0.5667 , 184.8138
0.5167 , 183.0946
0.4667 , 183.9542
0.4166 , 183.0946
0.3666 , 182.2350
0.3160 , 182.2350
0.2650 , 180.5158
0.2149 , 181.3754
0.1660 , 180.5158
0.1399 , 178.7966
0.1133 , 177.0774
0.0840 , 177.9370
0.0627 , 176.2178
0.0468 , 174.4986
0.0303 , 172.7794
0.0217 , 171.0602
0.0111 , 164.1834
