NaOH-4-1,
X,Y
0.9979 , 524.8371
0.9817 , 521.3613
0.9656 , 521.3613
0.9163 , 521.3613
0.8658 , 519.6235
0.8159 , 519.6235
0.7665 , 517.8856
0.7160 , 518.7545
0.6661 , 517.0167
0.6157 , 516.1477
0.5658 , 516.1477
0.5148 , 513.5409
0.4643 , 510.9341
0.4133 , 510.0652
0.3623 , 507.4584
0.3113 , 504.8516
0.2576 , 497.9001
0.2040 , 490.9486
0.1557 , 482.2592
0.1267 , 473.5699
0.0939 , 464.8805
0.0746 , 453.5844
0.0429 , 423.1716
0.0311 , 407.5308
0.0215 , 391.0210
0.0161 , 381.4627
0.0113 , 367.5597
0.0081 , 353.6568
