94%_burnoff,
X,Y
0.9927 , 914.6132
0.9847 , 898.2808
0.9735 , 887.1060
0.9597 , 876.7908
0.9123 , 869.0544
0.8634 , 864.7564
0.8139 , 862.1777
0.7633 , 858.7393
0.7133 , 855.3009
0.6627 , 851.8625
0.6122 , 846.7049
0.5611 , 842.4069
0.5079 , 834.6705
0.4520 , 824.3553
0.3967 , 808.0229
0.3461 , 788.2521
0.3025 , 767.6218
0.2466 , 723.7822
0.1945 , 672.2063
0.1450 , 615.4728
0.1259 , 593.1232
0.0977 , 555.3009
0.0690 , 511.4613
0.0456 , 468.4814
0.0349 , 449.5702
0.0200 , 411.7479
0.0142 , 394.5559
0.0084 , 357.5931
0.0057 , 335.2436
