A-3,
X,Y
0.0120 , 20.6962
0.0225 , 21.9103
0.0331 , 23.0389
0.0471 , 24.2081
0.0623 , 25.3029
0.0770 , 26.2489
0.0945 , 27.3032
0.1126 , 28.1174
0.1306 , 28.8262
0.1486 , 29.4175
0.1666 , 29.9576
0.1846 , 30.3596
0.2026 , 30.7046
0.2206 , 30.9705
0.2386 , 31.2053
0.2566 , 31.4410
0.2746 , 31.5594
0.2926 , 31.7103
0.3105 , 31.8226
0.3285 , 31.9251
0.3465 , 32.0315
0.3645 , 32.1140
0.3825 , 32.1985
0.4004 , 32.3228
0.4184 , 32.3854
0.4364 , 32.4584
0.4544 , 32.5294
0.4723 , 32.5971
0.4903 , 32.5684
0.5083 , 32.5979
0.5263 , 32.7344
0.5442 , 32.7263
0.5622 , 32.7531
0.5802 , 32.8114
0.5981 , 32.8255
0.6161 , 32.9019
0.6341 , 32.9601
0.6521 , 33.0084
0.6700 , 33.0486
0.6880 , 33.0868
0.7060 , 33.0707
0.7240 , 33.1812
0.7419 , 33.2627
0.7599 , 33.2946
0.7779 , 33.2737
0.7958 , 33.2998
0.8138 , 33.3581
0.8318 , 33.3360
0.8498 , 33.4311
0.8677 , 33.3828
0.8857 , 33.5235
0.9037 , 33.5576
0.9217 , 33.7536
0.9396 , 33.8826
0.9576 , 34.0373
0.9756 , 34.3984
0.9891 , 34.4748
