A-2,
X,Y
0.0215 , 17.7114
0.0110 , 16.9154
0.0066 , 15.8209
0.0320 , 18.5075
0.0451 , 19.1542
0.0599 , 19.8010
0.0704 , 20.1493
0.0861 , 20.6468
0.0930 , 20.7463
0.1087 , 21.0945
0.1148 , 21.1940
0.1322 , 21.4925
0.1418 , 21.6418
0.1592 , 21.8408
0.1652 , 21.9403
0.1939 , 22.2388
0.1809 , 22.0896
0.2113 , 22.3383
0.2444 , 22.5373
0.2626 , 22.6866
0.2922 , 22.7861
0.3095 , 22.8856
0.3400 , 23.0348
0.3582 , 23.1343
0.3921 , 23.2338
0.4112 , 23.2836
0.4886 , 23.4826
0.5094 , 23.5323
0.5937 , 23.7313
0.6111 , 23.7313
0.6928 , 23.9303
0.7102 , 23.9303
0.7380 , 23.9801
0.7562 , 24.0299
0.7910 , 24.0299
0.8101 , 24.1294
0.8866 , 24.2289
0.9091 , 24.2786
0.9908 , 24.4776
0.9804 , 24.4279
