CS-1,
X,Y
0.0112 , 18.8875
0.0254 , 20.3633
0.0435 , 21.2950
0.0615 , 21.9252
0.0795 , 22.6949
0.0976 , 23.5985
0.1156 , 24.1877
0.1336 , 24.7200
0.1516 , 25.0338
0.1696 , 25.2167
0.1876 , 25.4438
0.2056 , 25.6568
0.2235 , 25.8096
0.2415 , 26.0105
0.2595 , 26.1532
0.2775 , 26.3040
0.2955 , 26.4004
0.3135 , 26.5029
0.3314 , 26.6074
0.3494 , 26.6838
0.3674 , 26.8004
0.3854 , 26.9551
0.4033 , 26.9772
0.4213 , 27.0737
0.4393 , 27.1320
0.4573 , 27.1320
0.4752 , 27.1963
0.4932 , 27.1766
0.5112 , 27.1675
0.5291 , 27.1916
0.5471 , 27.2847
0.5651 , 27.2231
0.5831 , 27.2519
0.6010 , 27.2324
0.6190 , 27.2961
0.6370 , 27.3008
0.6549 , 27.2907
0.6729 , 27.3363
0.6909 , 27.2948
0.7088 , 27.3792
0.7268 , 27.4910
0.7448 , 27.5339
0.7628 , 27.5634
0.7807 , 27.6056
0.7987 , 27.5483
0.8167 , 27.5862
0.8347 , 27.6103
0.8526 , 27.6183
0.8706 , 27.6846
0.8886 , 27.7088
0.9065 , 27.7208
0.9245 , 27.7168
0.9425 , 27.7711
0.9605 , 27.8990
0.9784 , 27.9148
0.9919 , 27.8695
