S-2,
X,Y
0.0062 , 16.4403
0.0121 , 17.3196
0.0193 , 18.1126
0.0273 , 18.8274
0.0327 , 19.6418
0.0408 , 20.1964
0.0523 , 21.1528
0.0604 , 21.8101
0.0732 , 22.3088
0.0836 , 22.6868
0.0980 , 23.4261
0.1084 , 23.7309
0.1218 , 24.3850
0.1342 , 24.7325
0.1461 , 25.1088
0.1590 , 25.5836
0.1713 , 26.0337
0.1837 , 26.4196
0.1961 , 26.9019
0.2085 , 27.0861
0.2209 , 27.3814
0.2333 , 27.6707
0.2456 , 27.8900
0.2580 , 28.1316
0.2704 , 28.4483
0.2828 , 28.6617
0.2951 , 28.8196
0.3075 , 28.9891
0.3199 , 29.1967
0.3322 , 29.3779
0.3446 , 29.5884
0.3570 , 29.7112
0.3693 , 29.8573
0.3817 , 29.9976
0.3941 , 30.1750
0.4064 , 30.3358
0.4188 , 30.3903
0.4312 , 30.3893
0.4435 , 30.4303
0.4559 , 30.4917
0.4682 , 30.5530
0.4806 , 30.6203
0.4939 , 30.6527
0.5043 , 30.6689
0.5177 , 30.8132
0.5300 , 30.8600
0.5424 , 30.9126
0.5547 , 30.9272
0.5671 , 30.9681
0.5794 , 30.9915
0.5918 , 31.0968
0.6042 , 31.1406
0.6165 , 31.1494
0.6289 , 31.2049
0.6412 , 31.2546
0.6536 , 31.3072
0.6660 , 31.3072
0.6783 , 31.3569
0.6907 , 31.4359
0.7030 , 31.5206
0.7154 , 31.4329
0.7277 , 31.4826
0.7401 , 31.5265
0.7525 , 31.5674
0.7648 , 31.6259
0.7772 , 31.6580
0.7895 , 31.7253
0.8019 , 31.7925
0.8142 , 31.7223
0.8266 , 31.7253
0.8389 , 31.7253
0.8513 , 31.7282
0.8636 , 31.7486
0.8760 , 31.8422
0.8884 , 32.0030
0.9007 , 32.1637
0.9131 , 32.4999
0.9255 , 32.8741
0.9379 , 33.3243
0.9503 , 33.7481
0.9632 , 34.2020
0.9752 , 34.6251
0.9879 , 35.2117
0.9954 , 35.6619
