L-1,
X,Y
0.0072 , 4.2630
0.0252 , 4.8261
0.0432 , 5.1718
0.0612 , 5.3989
0.0792 , 5.6280
0.0972 , 5.8430
0.1151 , 5.9797
0.1331 , 6.1244
0.1511 , 6.2148
0.1691 , 6.3676
0.1871 , 6.5042
0.2050 , 6.5967
0.2230 , 6.7173
0.2410 , 6.8459
0.2590 , 6.9424
0.2769 , 7.0268
0.2949 , 7.1494
0.3129 , 7.2117
0.3309 , 7.3001
0.3489 , 7.4609
0.3668 , 7.5560
0.3848 , 7.5781
0.4028 , 7.6772
0.4208 , 7.6960
0.4387 , 7.7764
0.4567 , 7.8729
0.4747 , 7.9693
0.4927 , 8.0236
0.5106 , 8.0879
0.5286 , 8.1924
0.5466 , 8.2688
0.5646 , 8.3210
0.5825 , 8.3632
0.6005 , 8.4657
0.6185 , 8.4858
0.6365 , 8.5903
0.6544 , 8.6868
0.6724 , 8.7612
0.6904 , 8.8235
0.7084 , 8.8898
0.7263 , 8.9320
0.7443 , 9.0167
0.7623 , 9.0526
0.7803 , 9.1209
0.7982 , 9.2294
0.8162 , 9.3768
0.8342 , 9.3292
0.8522 , 9.3882
0.8701 , 9.4806
0.8881 , 9.6575
0.9061 , 9.8645
0.9241 , 10.2785
0.9421 , 10.7273
0.9601 , 11.2284
0.9782 , 11.7777
0.9905 , 12.0705
