SK-0.5-700,
X,Y
0.0101 , 315.5089
0.0517 , 335.2173
0.0895 , 341.5191
0.1280 , 344.8375
0.1566 , 346.3210
0.1926 , 348.3551
0.2263 , 349.5517
0.2612 , 351.6542
0.2949 , 352.0644
0.4350 , 357.1995
0.4684 , 358.9088
0.5044 , 357.6483
0.5407 , 358.3548
0.5767 , 359.3875
0.6108 , 360.1851
0.6456 , 361.0284
0.6816 , 361.7122
0.7161 , 363.2164
0.7506 , 364.8574
0.7858 , 366.7718
0.8210 , 368.8230
0.8563 , 372.6520
0.8900 , 378.6689
0.9245 , 388.7268
0.9949 , 425.9835
0.4006 , 355.8091
0.3830 , 356.4315
0.3640 , 355.1867
0.3465 , 353.9419
0.3319 , 353.9419
0.9591 , 403.7344
