SK-0.5-800,
X,Y
0.0116 , 331.5371
0.0487 , 356.6113
0.0869 , 364.3888
0.1240 , 368.1633
0.1577 , 370.4646
0.1915 , 372.6981
0.2263 , 374.4397
0.2612 , 375.7217
0.2960 , 377.7900
0.3354 , 379.1280
0.3605 , 379.5370
0.3866 , 380.2071
0.4039 , 379.8242
0.4343 , 381.3284
0.4691 , 382.8155
0.5051 , 381.8982
0.5411 , 383.1745
0.5759 , 384.0633
0.6108 , 384.6103
0.6456 , 385.8411
0.6805 , 386.6843
0.7153 , 387.6188
0.7513 , 389.5332
0.7850 , 391.3110
0.8188 , 393.6357
0.8548 , 397.0544
0.8896 , 402.1596
0.9225 , 413.8743
0.9245 , 408.5411
0.9572 , 425.7713
0.9809 , 435.9727
0.9987 , 441.0871
