SK-1-700,
X,Y
0.9942 , 553.1120
0.9569 , 510.7884
0.9232 , 488.3817
0.8889 , 475.3112
0.8553 , 467.2199
0.8202 , 461.6183
0.7851 , 458.5062
0.7507 , 456.0166
0.7156 , 452.2822
0.6813 , 451.0373
0.6462 , 449.7925
0.6096 , 447.9253
0.5760 , 446.0581
0.5402 , 445.4357
0.5044 , 444.8133
0.4693 , 443.5685
0.4349 , 443.5685
0.4006 , 441.0788
0.3830 , 441.0788
0.3640 , 439.8340
0.3465 , 439.8340
0.3304 , 439.8340
0.2961 , 437.9668
0.2617 , 436.0996
0.2266 , 433.6100
0.1988 , 432.3651
0.1974 , 431.1203
0.1908 , 431.7427
0.1586 , 429.2531
0.1316 , 424.8963
0.1301 , 425.5187
0.1192 , 425.5187
0.0863 , 419.9170
0.0497 , 408.7137
0.0146 , 391.2863
0.0102 , 387.5519
