SK-0.5-800,
X,Y
0.0101 , 329.0475
0.0479 , 355.9889
0.0876 , 363.7664
0.1291 , 368.1633
0.1599 , 370.4646
0.1936 , 372.6981
0.2263 , 374.4397
0.2612 , 375.7217
0.2960 , 377.7900
0.3324 , 378.5056
0.3649 , 379.5370
0.3830 , 380.2071
0.4010 , 379.8242
0.4343 , 381.3284
0.4691 , 382.8155
0.5051 , 381.8982
0.5411 , 383.1745
0.5759 , 384.0633
0.6108 , 384.6103
0.6456 , 385.8411
0.6805 , 386.6843
0.7153 , 387.6188
0.7513 , 389.5332
0.7850 , 391.3110
0.8188 , 393.6357
0.8548 , 397.0544
0.8896 , 402.1596
0.9245 , 410.4084
0.9608 , 423.2817
0.9875 , 433.4831
0.9965 , 440.4646
0.3480 , 378.8382
