SK-4-700,
X,Y
0.0119 , 583.2840
0.0068 , 559.1457
0.0262 , 611.9531
0.0352 , 633.4908
0.0431 , 658.5042
0.0520 , 673.5031
0.0633 , 700.1142
0.0723 , 717.7273
0.0824 , 742.0470
0.0970 , 763.9297
0.1083 , 784.7974
0.1240 , 805.4973
0.1420 , 828.0825
0.1622 , 851.4788
0.1858 , 871.9949
0.2092 , 886.3421
0.2342 , 900.3847
0.2589 , 909.2608
0.2845 , 916.6243
0.3081 , 921.1711
0.3331 , 925.5425
0.3581 , 928.6056
0.3831 , 931.4029
0.4062 , 933.6630
0.4343 , 935.9763
0.4597 , 938.1301
0.4840 , 940.2307
0.5103 , 943.3151
0.5362 , 944.9105
0.5652 , 946.5059
0.5862 , 947.8734
0.6129 , 948.9876
0.6391 , 949.3350
0.6652 , 952.3860
0.6881 , 952.6322
0.7126 , 953.6320
0.7399 , 953.3022
0.7642 , 953.7079
0.7900 , 956.2909
0.8251 , 956.6526
0.8505 , 956.9397
0.8793 , 959.1733
0.9047 , 960.1624
0.9312 , 960.6323
0.9559 , 962.2422
0.9802 , 965.1719
0.9964 , 967.5650
