SK-4-700,
X,Y
0.0102 , 559.3361
0.0146 , 582.9876
0.0497 , 671.3693
0.0819 , 740.4564
0.0863 , 748.5477
0.1170 , 797.7178
0.1213 , 804.5643
0.1586 , 848.7552
0.1908 , 877.3859
0.1981 , 881.1203
0.2273 , 896.6805
0.2412 , 902.9046
0.2617 , 910.3734
0.2829 , 915.9751
0.2953 , 920.3320
0.3187 , 922.8216
0.3304 , 925.9336
0.3458 , 926.5560
0.3655 , 929.6680
0.4020 , 933.4025
0.4342 , 935.8921
0.4715 , 939.0041
0.5058 , 941.4938
0.5402 , 943.3610
0.5760 , 945.8506
0.6096 , 947.7178
0.6447 , 948.9627
0.6806 , 950.2075
0.7156 , 952.0747
0.7507 , 952.6971
0.7858 , 953.9419
0.8209 , 955.8091
0.8575 , 957.6763
0.8904 , 957.6763
0.9262 , 959.5436
0.9605 , 960.7884
0.9927 , 967.0124
