SK-0.5-900,
X,Y
0.0127 , 343.0664
0.0509 , 373.1235
0.0880 , 381.7386
0.1240 , 386.6988
0.1577 , 389.7446
0.1857 , 391.5845
0.2031 , 391.6938
0.2286 , 393.8237
0.2612 , 395.5653
0.2960 , 397.0544
0.3331 , 398.4467
0.3578 , 399.6650
0.3826 , 400.4482
0.4017 , 400.8833
0.4354 , 401.3619
0.4680 , 404.0741
0.5051 , 403.2764
0.5411 , 404.2336
0.5748 , 405.1908
0.6108 , 406.2677
0.6468 , 407.5839
0.6805 , 408.5411
0.7153 , 410.1821
0.7513 , 412.2333
0.7862 , 414.2845
0.8221 , 417.1562
0.8559 , 421.4638
0.8896 , 427.0875
0.9254 , 437.3444
0.9620 , 449.7925
0.9883 , 458.5062
0.9956 , 460.9959
