SK-0.3-700,
X,Y
0.0194 , 180.8793
0.0577 , 188.4973
0.0925 , 190.6750
0.1319 , 191.9673
0.1670 , 192.7536
0.2034 , 193.2374
0.2395 , 194.1947
0.2760 , 194.3419
0.3111 , 195.2697
0.3471 , 195.1519
0.3839 , 195.4885
0.4193 , 196.0993
0.4573 , 196.8560
0.4912 , 197.1842
0.5291 , 195.5569
0.5667 , 195.6526
0.6142 , 196.1722
0.6576 , 196.6246
0.6937 , 197.1400
0.7284 , 197.5149
0.7652 , 198.5881
0.8008 , 199.6251
0.8383 , 202.0980
0.8744 , 204.5636
0.9104 , 208.0009
0.9471 , 214.2475
0.9824 , 217.9721
1.0009 , 219.9663
