SK-2-700,
X,Y
0.0021 , 403.8613
0.0247 , 414.8315
0.0506 , 429.4806
0.0794 , 440.2894
0.1009 , 444.5057
0.1262 , 449.1800
0.1527 , 452.4542
0.1749 , 454.2490
0.1982 , 456.2964
0.2297 , 458.5300
0.2629 , 461.0826
0.2983 , 462.5051
0.3340 , 463.9649
0.3578 , 465.1919
0.3832 , 466.2623
0.4028 , 466.9323
0.4365 , 468.2998
0.4723 , 469.3254
0.4942 , 471.2000
0.5152 , 470.3784
0.5465 , 472.1971
0.5722 , 472.8885
0.5936 , 472.9150
0.6209 , 474.1551
0.6524 , 474.6772
0.6784 , 475.9729
0.7131 , 477.5815
0.7522 , 479.3764
0.7801 , 480.9079
0.7957 , 481.0515
0.8233 , 484.4360
0.8525 , 487.8718
0.8779 , 493.4614
0.8975 , 497.1809
0.9285 , 509.4335
0.9582 , 528.5498
0.9770 , 544.8163
0.9942 , 557.4865
