SK-0.5-600,
X,Y
0.0152 , 217.3192
0.0509 , 226.7152
0.0909 , 228.2781
0.1258 , 230.7110
0.1566 , 232.7693
0.1915 , 234.0513
0.2252 , 235.0085
0.2612 , 236.1025
0.2949 , 236.9230
0.4350 , 239.1723
0.4706 , 240.4030
0.5062 , 239.7947
0.5411 , 240.0682
0.5759 , 241.5724
0.6108 , 241.9827
0.6468 , 242.1422
0.6805 , 242.7804
0.7165 , 243.8971
0.7524 , 244.8544
0.7862 , 246.1307
0.8199 , 248.0451
0.8559 , 250.9168
0.8896 , 255.3839
0.9240 , 263.0705
0.9598 , 273.6515
0.9861 , 284.2324
0.9956 , 290.4564
0.3311 , 237.5519
0.3999 , 238.7967
0.3830 , 239.4191
0.3662 , 238.1743
0.3465 , 239.4191
