GACO,
X,Y
0.0004 , 162.0287
0.0003 , 151.6850
0.0037 , 182.6937
0.0214 , 193.4784
0.0418 , 199.1274
0.0622 , 201.6849
0.0826 , 203.9669
0.1029 , 207.0555
0.1233 , 208.7277
0.1436 , 209.7901
0.1640 , 210.7934
0.1849 , 212.3209
0.2030 , 212.2588
0.2251 , 214.4328
0.2454 , 214.6099
0.2658 , 216.1837
0.2861 , 217.1280
0.3065 , 217.9149
0.3268 , 218.8199
0.3472 , 219.5281
0.3676 , 220.4134
0.3879 , 220.9249
0.4083 , 220.5576
0.4286 , 221.4757
0.4490 , 222.2626
0.4693 , 222.9118
0.4897 , 223.6630
0.5101 , 224.1315
0.5304 , 225.0758
0.5508 , 226.0005
0.5711 , 226.4923
0.5915 , 227.1218
0.6118 , 228.1566
0.6322 , 229.8325
0.6526 , 229.7029
0.6729 , 230.3678
0.6933 , 230.9187
0.7136 , 231.6072
0.7340 , 232.5318
0.7544 , 232.4925
0.7747 , 234.0466
0.7951 , 233.7516
0.8154 , 235.4828
0.8358 , 236.3877
0.8561 , 237.2140
0.8765 , 238.7681
0.8969 , 238.8075
0.9172 , 241.2469
0.9376 , 242.9912
0.9560 , 248.0446
0.9726 , 258.2596
0.9910 , 267.3134
