GACO,
X,Y
0.9923 , 268.9182
0.9514 , 248.2322
0.8985 , 240.2111
0.8507 , 237.6781
0.8003 , 234.7230
0.7509 , 233.4565
0.7014 , 231.7678
0.6493 , 229.6570
0.5512 , 226.2797
0.5017 , 224.1689
0.4505 , 222.9024
0.4002 , 220.3694
0.3490 , 218.6807
0.2995 , 216.5699
0.2491 , 214.8813
0.1988 , 212.1372
0.1544 , 210.2375
0.1032 , 206.4380
0.0401 , 199.6834
0.0307 , 197.3615
0.0205 , 194.4063
0.0102 , 189.1293
0.0060 , 184.4855
0.0030 , 178.9974
0.0017 , 173.0871
0.0009 , 166.7546
0.0009 , 161.2665
0.0013 , 154.7230
