GAC,
X,Y
0.0060 , 194.2695
0.0135 , 201.0846
0.0272 , 205.0792
0.0424 , 210.7471
0.0603 , 214.4858
0.0768 , 216.7618
0.0946 , 218.6035
0.1094 , 220.1689
0.1264 , 221.5317
0.1430 , 222.3792
0.1595 , 223.1540
0.1761 , 223.9046
0.1940 , 223.6710
0.2086 , 224.9803
0.2257 , 225.8900
0.2422 , 226.3258
0.2588 , 226.7617
0.2753 , 227.2701
0.2930 , 227.4366
0.3078 , 227.7008
0.3249 , 228.5292
0.3415 , 228.7955
0.3580 , 228.9892
0.3746 , 229.4977
0.3916 , 229.5219
0.4063 , 229.4040
0.4903 , 232.0061
0.5069 , 232.1082
0.5234 , 231.7737
0.5400 , 231.8100
0.5565 , 231.7608
0.5730 , 232.6696
0.5896 , 233.0812
0.6061 , 233.3233
0.6227 , 233.7349
0.6392 , 233.9286
0.6557 , 233.6994
0.6723 , 233.9674
0.6888 , 235.2942
0.7054 , 235.9810
0.7219 , 235.2724
0.7384 , 236.1376
0.7550 , 236.3644
0.7715 , 236.1078
0.7881 , 236.4225
0.8046 , 237.9955
0.8212 , 238.3847
0.8377 , 238.8957
0.8542 , 239.2162
0.8708 , 239.4378
0.9879 , 253.5181
0.9986 , 255.3326
0.0034 , 187.4406
0.4249 , 231.3456
0.9599 , 246.1214
0.9411 , 242.3219
