AC-r-800,
X,Y
0.0600 , 656.2863
0.0800 , 702.0693
0.1000 , 742.1397
0.1600 , 819.8606
0.1800 , 834.4034
0.2000 , 849.0026
0.2200 , 860.5061
0.2400 , 869.3112
0.2600 , 877.5754
0.2800 , 884.2422
0.3000 , 887.9159
0.3200 , 891.0771
0.3400 , 894.4896
0.3600 , 896.9929
0.3800 , 899.1491
0.4000 , 900.2775
0.4200 , 902.0332
0.4400 , 905.1938
0.4600 , 908.3269
0.4800 , 911.5138
0.5000 , 912.7411
0.5200 , 914.5436
0.5400 , 918.5523
0.5600 , 922.0919
0.5800 , 924.4258
0.6000 , 927.7323
0.6200 , 931.4421
0.6400 , 934.7283
0.6600 , 937.9171
0.6800 , 940.7026
0.7000 , 943.3114
0.7200 , 945.1502
0.7400 , 947.0363
0.7600 , 949.6156
0.7800 , 953.3033
0.8000 , 958.6008
0.8200 , 963.8467
0.8400 , 966.7152
0.8600 , 969.6084
0.8800 , 971.5982
0.9000 , 971.6025
0.9200 , 972.4697
0.9400 , 974.3045
0.9600 , 976.8375
0.9800 , 980.6953
0.9924 , 983.1224
0.1047 , 760.9001
0.0504 , 634.3179
0.0353 , 579.4655
0.0315 , 540.0844
0.0227 , 497.8903
0.0189 , 451.4768
0.0101 , 409.2827
0.0101 , 379.7468
0.0063 , 355.8368
0.0025 , 326.3010
0.0013 , 291.1392
0.0025 , 240.5063
0.0013 , 216.5963
0.0013 , 164.5570
0.0000 , 108.2982
0.0000 , 50.6329
0.1324 , 797.4684
