AC-r-600,
X,Y
0.0800 , 457.9682
0.1000 , 485.0172
0.1200 , 508.2741
0.1400 , 521.2700
0.1600 , 529.7537
0.1800 , 538.1526
0.2000 , 545.6612
0.2200 , 552.9159
0.2400 , 558.7234
0.2600 , 561.7440
0.2800 , 563.1782
0.3000 , 565.3742
0.3200 , 566.8557
0.3400 , 567.9626
0.3600 , 568.9352
0.3800 , 570.1439
0.4000 , 571.3888
0.4200 , 572.6185
0.4400 , 574.7480
0.4600 , 576.4000
0.4800 , 577.9144
0.5000 , 579.5632
0.5200 , 580.9979
0.5400 , 582.5309
0.5600 , 584.2107
0.5800 , 586.0793
0.6000 , 588.5112
0.6200 , 590.3535
0.6400 , 591.6664
0.6600 , 593.5652
0.6800 , 595.3130
0.7000 , 596.3789
0.7200 , 597.5812
0.7400 , 599.4182
0.7600 , 601.4019
0.7800 , 603.0017
0.8000 , 604.1424
0.8200 , 605.5691
0.8400 , 607.1152
0.8600 , 609.0153
0.8800 , 610.2692
0.9000 , 610.5155
0.9200 , 610.6639
0.9400 , 611.3317
0.9600 , 612.2290
0.9800 , 613.0221
0.0605 , 430.3797
0.0504 , 420.5345
0.0378 , 396.6245
0.0303 , 382.5598
0.0214 , 367.0886
0.0126 , 350.2110
0.0126 , 327.7075
0.0076 , 296.7651
0.0038 , 270.0422
0.0013 , 203.9381
0.0013 , 125.1758
0.0013 , 84.3882
0.0013 , 42.1941
0.9912 , 614.6273
