AC-700,
X,Y
0.0229 , 454.3081
0.0115 , 401.0444
0.0178 , 429.2428
0.0318 , 501.3055
0.0356 , 512.2715
0.0496 , 590.6005
0.0547 , 651.6971
0.0776 , 697.1279
0.1043 , 744.1253
0.1310 , 773.8903
0.1578 , 802.0888
0.1934 , 824.0209
0.2137 , 831.8538
0.2494 , 842.8198
0.2748 , 847.5196
0.2990 , 858.4856
0.3461 , 864.7520
0.4033 , 871.0183
0.4517 , 877.2846
0.5013 , 883.5509
0.5522 , 892.9504
0.6081 , 899.2167
0.6667 , 907.0496
0.7226 , 911.7493
0.7735 , 916.4491
0.8257 , 924.2820
0.8715 , 932.1149
0.9491 , 943.0809
0.9911 , 952.4804
