AC-r-700,
X,Y
0.0800 , 576.8639
0.1000 , 608.7761
0.1200 , 636.6740
0.1400 , 650.7798
0.1600 , 665.9620
0.1800 , 683.8775
0.2000 , 693.8944
0.2200 , 700.2835
0.2400 , 710.1006
0.2600 , 717.8435
0.2800 , 721.9369
0.3000 , 727.1498
0.3200 , 731.0409
0.3400 , 733.2983
0.3600 , 735.5953
0.3800 , 739.2567
0.4000 , 743.0891
0.4200 , 745.5757
0.4400 , 747.2907
0.4600 , 747.9905
0.4800 , 749.6042
0.5000 , 752.7997
0.5200 , 756.2464
0.5400 , 759.5713
0.5600 , 761.1181
0.5800 , 763.9334
0.6000 , 766.6141
0.6200 , 767.0851
0.6400 , 769.2542
0.6600 , 771.5795
0.6800 , 772.2986
0.7000 , 773.9579
0.7200 , 776.6763
0.7400 , 779.3174
0.7600 , 781.9954
0.7800 , 783.4603
0.8000 , 784.9180
0.8200 , 786.9878
0.8400 , 788.6177
0.8600 , 790.5247
0.8800 , 791.9526
0.9000 , 793.6161
0.9200 , 795.6753
0.9400 , 796.5461
0.9600 , 797.2156
0.9800 , 799.3719
0.9924 , 803.0942
0.0492 , 547.1167
0.0366 , 511.9550
0.0340 , 499.2968
0.0240 , 454.2897
0.0177 , 428.9733
0.0113 , 399.4374
0.0088 , 371.3080
0.0050 , 354.4304
0.0025 , 329.1139
0.0013 , 289.7328
0.0025 , 241.9128
0.0000 , 220.8158
0.0000 , 160.3376
0.0013 , 108.2982
0.0013 , 52.0394
