AC-500,
X,Y
0.9924 , 1110.7050
0.9504 , 1102.8721
0.8715 , 1093.4726
0.8244 , 1082.5065
0.7723 , 1073.1070
0.7226 , 1062.1410
0.6654 , 1051.1749
0.6094 , 1046.4752
0.5522 , 1030.8094
0.5025 , 1026.1097
0.4504 , 1016.7102
0.4020 , 1008.8773
0.3461 , 999.4778
0.2990 , 988.5117
0.2748 , 971.2794
0.2494 , 960.3133
0.2239 , 952.4804
0.2137 , 936.8146
0.1934 , 922.7154
0.1743 , 907.0496
0.1578 , 883.5509
0.1298 , 842.8198
0.1043 , 800.5222
0.1005 , 789.5561
0.0827 , 761.3577
0.0789 , 747.2585
0.0560 , 670.4961
0.0509 , 636.0313
0.0356 , 585.9008
0.0305 , 545.1697
0.0229 , 502.8721
0.0191 , 459.0078
0.0115 , 412.0104
0.0089 , 383.8120
0.0064 , 371.2794
0.0051 , 355.6136
0.0025 , 327.4151
0.0013 , 292.9504
0.0025 , 242.8198
0.0013 , 219.3211
