AC-r-500,
X,Y
0.0800 , 266.5114
0.1000 , 277.1305
0.1200 , 284.7629
0.1400 , 293.6313
0.1600 , 302.0689
0.1800 , 309.3587
0.2000 , 313.6952
0.2200 , 317.9668
0.2400 , 321.5809
0.2600 , 323.6968
0.2800 , 325.0367
0.3000 , 326.3286
0.3200 , 327.7522
0.3400 , 329.2450
0.3600 , 330.4332
0.3800 , 331.0350
0.4000 , 331.3088
0.4200 , 331.5693
0.4400 , 332.0558
0.4600 , 332.7356
0.4800 , 333.5406
0.5000 , 334.3877
0.5200 , 335.1006
0.5400 , 335.6262
0.5600 , 335.9416
0.5800 , 336.1602
0.6000 , 336.5094
0.6200 , 337.2062
0.6400 , 338.0426
0.6600 , 338.7890
0.6800 , 339.4566
0.7000 , 340.0740
0.7200 , 340.6280
0.7400 , 341.3189
0.7600 , 342.1223
0.7800 , 342.9252
0.8000 , 343.7389
0.8200 , 344.5801
0.8400 , 345.4726
0.8600 , 346.3544
0.8800 , 347.1145
0.9000 , 347.6430
0.9200 , 348.5335
0.9400 , 350.4607
0.9600 , 353.1788
0.9800 , 357.0928
0.0542 , 251.7581
0.0366 , 241.9128
0.0265 , 232.0675
0.0177 , 216.5963
0.0151 , 203.9381
0.0126 , 188.4669
0.0101 , 175.8087
0.0050 , 147.6793
0.0025 , 92.8270
0.0038 , 70.3235
0.0013 , 26.7229
0.9924 , 358.6498
