AC-600,
X,Y
0.0509 , 632.8982
0.0369 , 585.9008
0.0305 , 543.6031
0.0242 , 501.3055
0.0178 , 459.0078
0.0140 , 412.0104
0.0115 , 368.1462
0.0025 , 327.4151
0.0025 , 292.9504
0.0000 , 241.2533
0.0000 , 216.1880
0.0547 , 672.0627
0.0789 , 726.8930
0.0814 , 750.3916
0.1043 , 770.7572
0.1298 , 795.8225
0.1565 , 822.4543
0.1730 , 838.1201
0.1908 , 853.7859
0.2137 , 866.3185
0.2226 , 872.5849
0.2481 , 883.5509
0.2748 , 902.3499
0.2990 , 911.7493
0.3461 , 922.7154
0.4033 , 932.1149
0.4517 , 944.6475
0.5013 , 952.4804
0.5509 , 957.1802
0.6081 , 963.4465
0.6667 , 971.2794
0.7226 , 977.5457
0.7735 , 985.3786
0.8244 , 991.6449
0.8715 , 996.3446
0.9504 , 1002.6110
0.9911 , 1007.3107
