AC-900,
X,Y
0.0356 , 241.2533
0.0242 , 228.7206
0.0165 , 213.0548
0.0115 , 194.2559
0.0089 , 173.8903
0.0064 , 155.0914
0.0025 , 119.0601
0.0000 , 97.1279
0.0013 , 78.3290
0.0013 , 62.6632
0.0000 , 46.9974
0.0013 , 21.9321
0.0547 , 249.0862
0.0776 , 266.3185
0.1005 , 275.7180
0.1298 , 291.3838
0.1565 , 300.7833
0.1730 , 311.7493
0.1921 , 313.3159
0.2125 , 318.0157
0.2239 , 321.1488
0.2481 , 322.7154
0.2748 , 324.2820
0.2990 , 328.9817
0.3486 , 332.1149
0.4033 , 332.1149
0.4517 , 333.6815
0.5025 , 333.6815
0.5522 , 336.8146
0.6094 , 336.8146
0.6667 , 341.5144
0.7239 , 341.5144
0.7723 , 343.0809
0.8244 , 344.6475
0.8728 , 346.2141
0.9504 , 350.9138
0.9924 , 360.3133
