AC-800,
X,Y
0.0800 , 417.3946
0.1000 , 427.8203
0.1200 , 436.0087
0.1400 , 444.9036
0.1600 , 453.2741
0.1800 , 460.8019
0.2000 , 465.4394
0.2200 , 469.7662
0.2400 , 473.1775
0.2600 , 475.0353
0.2800 , 476.2708
0.3000 , 477.6081
0.3200 , 479.1267
0.3400 , 480.7005
0.3600 , 481.9573
0.3800 , 482.6076
0.4000 , 482.8483
0.4200 , 482.9810
0.4400 , 483.5892
0.4600 , 484.4019
0.4800 , 485.2163
0.5000 , 485.9784
0.5200 , 486.5124
0.5400 , 486.9361
0.5600 , 487.3165
0.5800 , 487.6861
0.6000 , 488.2334
0.6200 , 488.9636
0.6400 , 489.8029
0.6600 , 490.6515
0.6800 , 491.3088
0.7000 , 491.7672
0.7200 , 492.0960
0.7400 , 492.3817
0.7600 , 492.8164
0.7800 , 493.5080
0.8000 , 494.3524
0.8200 , 495.2465
0.8400 , 496.2367
0.8600 , 497.2659
0.8800 , 498.0374
0.9000 , 498.5967
0.9200 , 500.0290
0.9400 , 502.1787
0.9600 , 504.8140
0.9800 , 509.5080
0.0547 , 404.1775
0.0394 , 394.7781
0.0305 , 383.8120
0.0229 , 372.8460
0.0127 , 354.0470
0.0076 , 321.1488
0.0064 , 292.9504
0.0038 , 271.0183
0.0013 , 242.8198
0.0013 , 208.3551
