AC-r-700,
X,Y
0.9924 , 801.6878
0.9508 , 798.8748
0.8726 , 794.6554
0.8247 , 790.4360
0.7743 , 786.2166
0.7238 , 779.1842
0.6671 , 773.5584
0.6091 , 769.3390
0.5523 , 763.7131
0.5006 , 756.6807
0.4502 , 748.2419
0.4023 , 744.0225
0.3468 , 735.5837
0.3001 , 729.9578
0.2749 , 725.7384
0.2497 , 717.2996
0.2232 , 706.0478
0.2144 , 699.0155
0.1942 , 694.7961
0.1740 , 683.5443
0.1564 , 662.4473
0.1299 , 646.9761
0.1047 , 624.4726
0.0782 , 575.2461
0.0504 , 551.3361
0.0353 , 511.9550
0.0303 , 499.2968
0.0240 , 452.8833
0.0177 , 427.5668
0.0113 , 400.8439
0.0113 , 379.7468
0.0076 , 368.4951
0.0050 , 355.8368
0.0025 , 327.7075
0.0025 , 292.5457
0.0013 , 241.9128
0.0013 , 219.4093
0.0000 , 164.5570
0.0000 , 108.2982
0.0000 , 52.0394
