AC-700,
X,Y
0.1200 , 759.3831
0.1400 , 781.3890
0.1600 , 798.9728
0.1800 , 813.4581
0.2000 , 825.1928
0.2200 , 833.3254
0.2400 , 839.8017
0.2600 , 845.8665
0.2800 , 851.3924
0.3000 , 856.5311
0.3200 , 861.1051
0.3400 , 864.2375
0.3600 , 866.5928
0.3800 , 868.8599
0.4000 , 871.0571
0.4200 , 873.1102
0.4400 , 875.1769
0.4600 , 877.4817
0.4800 , 880.2717
0.5000 , 883.3408
0.5200 , 886.5598
0.5400 , 889.7522
0.5600 , 892.7245
0.5800 , 895.4857
0.6000 , 898.1299
0.6200 , 900.5865
0.6400 , 902.7852
0.6600 , 904.7813
0.6800 , 906.6134
0.7000 , 908.2829
0.7200 , 910.1164
0.7400 , 912.4041
0.7600 , 914.9423
0.7800 , 917.4983
0.8000 , 920.3220
0.8200 , 923.3622
0.8400 , 926.6020
0.8600 , 930.0318
0.8800 , 933.1428
0.9000 , 935.6451
0.9200 , 938.5283
0.9400 , 942.8086
0.9600 , 946.1356
0.9924 , 952.4804
0.1056 , 740.9922
0.0802 , 697.1279
0.0547 , 653.2637
0.0509 , 592.1671
0.0369 , 509.1384
0.0293 , 498.1723
0.0229 , 454.3081
0.0178 , 422.9765
0.0115 , 401.0444
