AC-800,
X,Y
0.9924 , 510.7050
0.9491 , 501.3055
0.8728 , 498.1723
0.8244 , 495.0392
0.7735 , 493.4726
0.7239 , 490.3394
0.6654 , 490.3394
0.6094 , 488.7728
0.5509 , 487.2063
0.5000 , 485.6397
0.4517 , 482.5065
0.4020 , 482.5065
0.3473 , 480.9399
0.3003 , 476.2402
0.2748 , 474.6736
0.2494 , 474.6736
0.2239 , 473.1070
0.2112 , 469.9739
0.1934 , 463.7076
0.1730 , 462.1410
0.1578 , 451.1749
0.1285 , 441.7755
0.1056 , 432.3760
0.0980 , 427.6762
0.0840 , 422.9765
0.0763 , 415.1436
0.0534 , 401.0444
0.0356 , 393.2115
0.0293 , 383.8120
0.0254 , 374.4125
0.0216 , 360.3133
0.0102 , 327.4151
0.0038 , 294.5170
0.0025 , 269.4517
0.0000 , 205.2219
