AC-900,
X,Y
0.0800 , 266.7489
0.1000 , 278.1341
0.1200 , 285.7789
0.1400 , 294.5759
0.1600 , 303.1527
0.1800 , 309.9767
0.2000 , 315.2128
0.2200 , 319.4097
0.2400 , 322.4978
0.2600 , 324.4679
0.2800 , 325.9443
0.3000 , 327.4641
0.3200 , 328.9716
0.3400 , 330.3969
0.3600 , 331.3997
0.3800 , 332.0494
0.4000 , 332.5500
0.4200 , 333.1277
0.4400 , 333.5085
0.4600 , 333.8364
0.4800 , 334.2540
0.5000 , 334.8225
0.5200 , 335.4839
0.5400 , 336.3406
0.5600 , 337.0209
0.5800 , 337.4166
0.6000 , 337.8876
0.6200 , 338.6468
0.6400 , 339.5600
0.6600 , 340.4729
0.6800 , 341.0377
0.7000 , 341.2980
0.7200 , 341.5103
0.7400 , 341.9856
0.7600 , 342.6920
0.7800 , 343.4869
0.8000 , 344.4248
0.8200 , 345.4692
0.8400 , 346.4997
0.8600 , 347.4175
0.8800 , 348.1200
0.9000 , 348.6508
0.9200 , 349.5002
0.9400 , 351.3791
0.9600 , 354.6051
0.9800 , 358.1976
0.0534 , 252.2193
0.0356 , 241.2533
0.0242 , 228.7206
0.0165 , 213.0548
0.0115 , 194.2559
0.0089 , 173.8903
0.0064 , 155.0914
0.0025 , 119.0601
0.0000 , 97.1279
0.0013 , 78.3290
0.0013 , 62.6632
0.0000 , 46.9974
0.0013 , 21.9321
0.9924 , 360.3133
