AC-r-500,
X,Y
0.9924 , 360.0563
0.9508 , 350.2110
0.8714 , 347.3980
0.8247 , 344.5851
0.7730 , 341.7722
0.7238 , 341.7722
0.6671 , 340.3657
0.6091 , 338.9592
0.5511 , 337.5527
0.5019 , 334.7398
0.4515 , 333.3333
0.4035 , 331.9269
0.3468 , 331.9269
0.3001 , 326.3010
0.2749 , 324.8945
0.2484 , 323.4880
0.2245 , 322.0816
0.2131 , 319.2686
0.1929 , 313.6428
0.1740 , 312.2363
0.1576 , 300.9845
0.1299 , 291.1392
0.1047 , 281.2940
0.0971 , 277.0745
0.0820 , 272.8551
0.0794 , 264.4163
0.0530 , 250.3516
0.0353 , 241.9128
0.0290 , 233.4740
0.0214 , 226.4416
0.0202 , 212.3769
0.0101 , 198.3122
0.0088 , 181.4346
0.0076 , 168.7764
0.0025 , 149.0858
0.0013 , 70.3235
0.0013 , 25.3165
