NDC-700,
X,Y
0.0004 , 65.6225
0.0004 , 1.4927
0.0026 , 76.5295
-0.0001 , 14.7385
0.0004 , 56.0712
0.0005 , 48.6983
0.0005 , 41.3254
0.0005 , 33.9525
0.0006 , 26.5796
0.0090 , 85.6494
0.0245 , 94.3801
0.0456 , 100.1822
0.0654 , 103.7346
0.0903 , 107.4289
0.1123 , 110.3263
0.1343 , 113.0002
0.1644 , 116.3418
0.1844 , 118.3461
0.2144 , 121.2002
0.2344 , 123.1334
0.2645 , 125.7540
0.2845 , 127.5112
0.3145 , 130.2164
0.3346 , 131.9262
0.3646 , 134.5873
0.3846 , 136.4156
0.4126 , 139.0910
0.4347 , 140.4752
0.4567 , 142.2351
0.4787 , 144.0255
0.5007 , 145.7854
0.5228 , 147.2711
0.5448 , 148.9397
0.5668 , 150.5168
0.5888 , 152.1549
0.6109 , 153.8538
0.6329 , 155.6747
0.6549 , 157.4346
0.6769 , 159.1336
0.6990 , 160.8936
0.7210 , 162.6535
0.7430 , 164.5657
0.7650 , 166.0210
0.7871 , 167.3544
0.8091 , 169.3276
0.8311 , 171.8492
0.8531 , 174.4013
0.8751 , 177.5931
0.8972 , 181.0896
0.9192 , 186.0485
0.9362 , 190.5470
