NDC-500,
X,Y
0.0182 , 6.1728
0.0441 , 6.9843
0.0702 , 7.7897
0.0988 , 8.5345
0.1248 , 9.0868
0.1521 , 9.4389
0.1769 , 9.9722
0.2042 , 10.3855
0.2290 , 10.8576
0.2588 , 11.4570
0.2810 , 12.0524
0.3171 , 12.6595
0.3371 , 12.7303
0.3692 , 13.4160
0.3909 , 14.1013
0.4212 , 15.1779
0.4473 , 15.2296
0.4733 , 15.4704
0.4994 , 16.1838
0.5254 , 16.5621
0.5514 , 17.1981
0.5775 , 17.7826
0.6035 , 18.2898
0.6295 , 18.6680
0.6556 , 19.3041
0.6816 , 20.1980
0.7076 , 21.0402
0.7337 , 21.3412
0.7597 , 22.1577
0.7858 , 23.6960
0.8118 , 25.1484
0.8378 , 26.3173
0.8638 , 27.6923
0.8899 , 29.3596
0.9159 , 31.5939
0.9369 , 33.1887
