ACFC-900,
X,Y
0.0200 , 45.0560
0.0400 , 47.5578
0.0600 , 48.9759
0.0800 , 49.9458
0.1000 , 50.6854
0.1200 , 51.3073
0.1400 , 51.7545
0.1600 , 52.1456
0.1800 , 52.5054
0.2000 , 52.7747
0.2200 , 53.1093
0.2400 , 53.4713
0.2600 , 53.7687
0.2800 , 54.0189
0.3000 , 54.2627
0.3200 , 54.4285
0.3400 , 54.6083
0.3600 , 54.8363
0.3800 , 54.9884
0.4000 , 55.1372
0.4200 , 55.3526
0.4400 , 55.4990
0.4600 , 55.6230
0.4800 , 55.7341
0.5000 , 55.8383
0.5200 , 56.0441
0.5400 , 56.2428
0.5600 , 56.3900
0.5800 , 56.4917
0.6000 , 56.5071
0.6200 , 56.6230
0.6400 , 56.8470
0.6600 , 57.0023
0.6800 , 57.1251
0.7000 , 57.2398
0.7200 , 57.3628
0.7334 , 57.4815
0.7574 , 57.6110
0.7694 , 57.7420
0.7984 , 57.7382
0.8094 , 58.0021
0.8383 , 58.2636
0.8773 , 58.3911
0.8983 , 58.6536
0.9103 , 58.6520
0.9383 , 58.7810
0.9583 , 59.0437
0.9692 , 59.1749
0.9922 , 59.3045
0.0096 , 43.3818
0.0046 , 41.6578
0.0267 , 46.5636
